restaurant_name,location,cuisines,rate,approx_cost_for_two,online_order,book_table,price_segment,rating_category
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1,800,Yes,Yes,Mid,High Rating
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",4.1,800,Yes,No,Mid,High Rating
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,800,Yes,No,Mid,Average
Addhuri Udupi Bhojana,Banashankari,"South Indian, North Indian",3.7,300,No,No,Low,Average
Grand Village,Basavanagudi,"North Indian, Rajasthani",3.8,600,No,No,Mid,Average
Timepass Dinner,Basavanagudi,North Indian,3.8,600,Yes,No,Mid,Average
Onesta,Banashankari,"Pizza, Cafe, Italian",4.6,600,Yes,Yes,Mid,High Rating
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",4.0,700,Yes,No,Mid,High Rating
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550,Yes,No,Mid,High Rating
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,4.1,500,Yes,No,Low,High Rating
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2,600,Yes,Yes,Mid,High Rating
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",4.2,500,Yes,Yes,Low,High Rating
Caf-Eleven,Banashankari,"Cafe, Continental",4.0,450,No,No,Low,High Rating
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,800,Yes,No,Mid,Average
Cafe Vivacity,Banashankari,Cafe,3.8,650,Yes,No,Mid,Average
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800,Yes,No,Mid,Average
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8,700,Yes,No,Mid,Average
T3H Cafe,Banashankari,"Cafe, Italian, American",3.9,300,No,No,Low,Average
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",3.0,400,Yes,No,Low,Average
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",3.7,500,Yes,No,Low,Average
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",3.6,600,Yes,No,Mid,Average
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",3.8,550,No,No,Mid,Average
Redberrys,Basavanagudi,"Cafe, Italian",4.0,600,Yes,No,Mid,High Rating
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",2.8,500,Yes,No,Low,Low Rating
Ovenstory Pizza,Banashankari,Pizza,3.9,750,Yes,No,Mid,Average
Faasos,Banashankari,"North Indian, Biryani, Fast Food",4.2,500,Yes,No,Low,High Rating
Behrouz Biryani,Banashankari,Biryani,3.9,650,Yes,No,Mid,Average
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",4.2,600,Yes,No,Mid,High Rating
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",4.4,750,Yes,No,Mid,High Rating
Chaatimes,Basavanagudi,"Street Food, Fast Food",3.8,200,Yes,No,Low,Average
McDonald's,Banashankari,"Burger, Fast Food",3.9,500,Yes,No,Low,Average
Domino's Pizza,Banashankari,"Pizza, Fast Food",3.9,800,Yes,No,Mid,Average
Onesta,Banashankari,"Pizza, Cafe, Italian",4.6,600,Yes,Yes,Mid,High Rating
Hotboxit,Banashankari,"North Indian, Continental, Italian",3.8,400,No,No,Low,Average
Kitchen Garden,Kumaraswamy Layout,"North Indian, Chinese",3.6,300,Yes,No,Low,Average
Recipe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",4.0,450,Yes,No,Low,High Rating
Beijing Bites,Rajarajeshwari Nagar,"Chinese, Thai",3.7,850,Yes,No,Mid,Average
Tasty Bytes,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",3.1,300,Yes,No,Low,Average
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",4.3,400,No,No,Low,High Rating
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",4.0,750,Yes,No,Mid,High Rating
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",4.0,450,No,No,Low,High Rating
FreshMenu,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9,450,Yes,No,Low,Average
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,800,Yes,Yes,Mid,High Rating
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",4.2,800,No,No,Mid,High Rating
Goa 0 Km,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",3.6,800,Yes,Yes,Mid,Average
1947,Banashankari,"North Indian, Chinese",4.0,850,No,Yes,Mid,High Rating
Kabab Magic,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",4.1,400,Yes,No,Low,High Rating
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1,1200,No,No,Premium,High Rating
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",4.1,300,No,No,Low,High Rating
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",3.6,300,No,No,Low,Average
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,4.1,150,Yes,No,Low,High Rating
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",3.8,350,No,No,Low,Average
Frozen Bottle,Banashankari,"Beverages, Desserts, Ice Cream",4.2,400,Yes,No,Low,High Rating
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",4.4,600,Yes,No,Mid,High Rating
Nandhini Deluxe,Banashankari,North Indian,2.6,600,No,No,Mid,Low Rating
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",3.3,800,No,No,Mid,Average
Chatar Patar,Banashankari,"Fast Food, Street Food",3.7,300,No,No,Low,Average
Polar Bear,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",3.8,400,Yes,No,Low,Average
Kidambi's Kitchen,Banashankari,South Indian,3.5,300,No,No,Low,Average
Mane Thindi,Banashankari,South Indian,3.7,200,No,No,Low,Average
Floured-Baked With Love,Banashankari,Bakery,3.8,400,No,No,Low,Average
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.1,300,Yes,No,Low,High Rating
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",4.0,450,Yes,No,Low,High Rating
Darbar,Banashankari,"North Indian, Chinese",3.0,800,No,No,Mid,Average
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",4.1,500,Yes,Yes,Low,High Rating
House Of Kebabs,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",3.8,650,Yes,No,Mid,Average
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",3.8,400,Yes,No,Low,Average
BOX8- Desi Meals,Banashankari,"North Indian, Mughlai, Fast Food",4.1,500,Yes,No,Low,High Rating
KFC,Banashankari,"Burger, Fast Food",3.8,450,Yes,No,Low,Average
Roll Over,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1,500,Yes,No,Low,High Rating
Imperial Restaurant,Mysore Road,"North Indian, Chinese, Biryani, Beverages",3.7,750,Yes,No,Mid,Average
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",3.7,350,Yes,No,Low,Average
Canton,Jayanagar,"Chinese, Seafood, Biryani",3.6,800,Yes,No,Mid,Average
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",4.6,400,Yes,No,Low,High Rating
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",4.1,1200,Yes,Yes,Premium,High Rating
Lassi Corner,Basavanagudi,"Beverages, Ice Cream",3.7,150,Yes,No,Low,Average
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",3.2,300,Yes,No,Low,Average
Energy Addaa,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",4.2,500,Yes,No,Low,High Rating
